country_code,year,unemployment_rate,internet_users,gdp_per_capita,tertiary_enrollment
URY,1967,,,584.75530449369,
URY,1968,,,578.548868536136,
URY,1969,,,722.586254907569,
URY,1970,,,765.763011986694,
URY,1971,,,1000.28365412257,
URY,1972,,,775.937251050835,
URY,1973,,,1397.28960304383,
URY,1974,,,1433.17797475063,12.0089902877808
URY,1975,,,1231.85370953179,14.7060499191284
URY,1976,,,1268.30303240921,
URY,1977,,,1414.23789985403,17.3185901641846
URY,1978,,,1678.30925622568,
URY,1979,,,2442.65957894266,16.4293098449707
URY,1980,,,3442.81230620351,15.5197296142578
URY,1981,,,3728.4455696996,17.2512893676758
URY,1982,,,3084.79407002174,22.4728202819824
URY,1983,,,1707.14462849135,23.9578895568848
URY,1984,,,1615.40647277136,
URY,1985,,,1568.43216486363,
URY,1986,,,1938.8108486947,
URY,1987,,,2415.6541994875,
URY,1988,,,2677.19777690993,
URY,1989,,,2734.36623871535,29.2518100738525
URY,1990,,0.0,2995.36105663465,30.11083984375
URY,1991,8.95,,3589.01541942634,30.7541999816894
URY,1992,8.96,,4101.71054155291,28.0859699249268
URY,1993,8.35,,4753.00924682647,
URY,1994,9.04,0.0625,5507.56481300056,
URY,1995,10.02,0.31,6050.48632253644,
URY,1996,11.93,1.85,6398.43575184095,29.964319229126
URY,1997,11.44,3.36,7436.29342620682,
URY,1998,9.362,6.99,7836.89183322307,35.4384002685547
URY,1999,10.466,9.97,7370.56995453931,33.6197891235352
URY,2000,12.627,10.5390577480141,6987.70098766257,33.8414497375488
URY,2001,15.052,11.1214376832783,6382.76104740859,37.7791595458984
URY,2002,16.648,11.4194701966853,4149.76140312687,39.5832290649414
URY,2003,16.661,15.9371367159756,3671.12329256883,41.7629699707031
URY,2004,12.98,17.0630983403661,4168.66065438387,42.7656097412109
URY,2005,12.009,20.0881895579305,5284.25677987129,44.3836708068848
URY,2006,10.844,29.39999962,6001.33294783172,45.3399810791016
URY,2007,9.403,34.0,7222.05403645877,50.3921318054199
URY,2008,8.025,39.3,9423.96562595893,51.0627593994141
URY,2009,7.74,41.8,9881.39573127081,50.9438095092773
URY,2010,7.158,46.4,12641.0576849008,51.8884303512712
URY,2011,6.307,51.4046610563616,15132.2675725587,52.5558159999377
URY,2012,6.451,54.453768680746,16259.5940814256,54.7069093768187
URY,2013,6.444,57.69,18335.2594772322,59.9512588300598
URY,2014,6.547,61.4624951684405,18322.4276767157,59.826704311423
URY,2015,7.488,64.5707870971624,17125.9016800298,57.7897211461691
URY,2016,7.841,66.40000153,17009.7584207276,59.6462945758069
URY,2017,7.89,70.3223543994698,19184.6626114272,59.7518904286933
URY,2018,8.336,80.7268428795854,19249.9404677501,60.2781342968002
URY,2019,8.836,83.3515337667548,18315.7350377437,61.9644279466795
URY,2020,10.413,85.47100067,15757.5341990356,64.9332150107214
URY,2021,9.328,87.64440155,17881.8119616753,75.1713873701582
URY,2022,7.877,89.87304314,21009.2883798725,76.3977408357972
URY,2023,8.355,90.92590332,23378.6399733516,79.9536903496537
URY,2024,8.209,91.99109007,24308.4954958447,
URY,2025,7.516,,25215.8238152781,
USA,1960,,,2999.86487154495,
USA,1961,,,3059.16082086127,
USA,1962,,,3236.01311150062,
USA,1963,,,3366.36978960346,
USA,1964,,,3565.31443016356,
USA,1965,,,3818.28825117968,
USA,1966,,,4136.30829579106,
USA,1967,,,4325.95935063186,
USA,1968,,,4684.58840293763,
USA,1969,,,5019.99818634473,
USA,1970,,,5234.2966662115,
USA,1971,,,5609.38259952519,46.751781463623
USA,1972,,,6094.01798986165,47.987979888916
USA,1973,,,6726.35895596695,48.3167495727539
USA,1974,,,7225.69135952566,48.3928108215332
USA,1975,,,7801.45666356443,50.1408500671387
USA,1976,,,8592.25353727612,53.6102409362793
USA,1977,,,9452.57651914511,51.7869606018066
USA,1978,,,10564.9482220275,52.4358406066895
USA,1979,,,11674.1818666548,51.810131072998
USA,1980,,,12574.7915062163,52.8782386779785
USA,1981,,,13976.10539252,55.3480186462402
USA,1982,,,14433.787727053,56.8819313049316
USA,1983,,,15543.8937174925,57.5493507385254
USA,1984,,,17121.2254849995,58.7549095153809
USA,1985,,,18236.8277265009,59.2420692443848
USA,1986,,,19071.2271949295,60.9534912109375
USA,1987,,,20038.9410992658,64.0167388916016
USA,1988,,,21417.0119305191,66.8240585327148
USA,1989,,,22857.1544330056,68.5826797485352
